French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
ville,city
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
corps,body
endroit,place
écoute,listen
dont,whose
trouve,find
main,hand
première,first
sois,be
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
loin,far
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
